category,reviews,size,installs,price,suitable_for,last_update,latest_ver,popularity
DATING,1999,8.0M,"100,000+",0,Mature 17+,"February 3, 2017",1.6.5,Low
LIFESTYLE,71,24M,"5,000+",0,Everyone,"May 8, 2017",1.0.11,Low
MAPS_AND_NAVIGATION,59,1.3M,"10,000+",0,Everyone,"January 26, 2015",1.0,Low
HEALTH_AND_FITNESS,20098,25M,"10,000,000+",0,Everyone,"May 14, 2018",5.31.75,Low
BUSINESS,2,49M,500+,0,Everyone,"September 19, 2017",2.1.1,Low
TOOLS,11,11M,"1,000+",0,Everyone,"August 5, 2016",1.7.2,Low
BOOKS_AND_REFERENCE,1680,4.0M,"100,000+",0,Everyone,"August 20, 2016",3.05,Low
FAMILY,269,39M,"50,000+",0,Teen,"June 3, 2017",1.0,Low
BUSINESS,25,16M,"10,000+",0,Everyone,"July 27, 2018",1.1.2,Low
FAMILY,141,65M,"1,000+",0,Everyone,"March 6, 2018",1.8.2,Low
FAMILY,279,14M,"10,000+",0,Everyone,"December 25, 2017",1.6.6,Low
PRODUCTIVITY,3,16M,"1,000+",0,Everyone,"July 16, 2018",1.24.1,Low
MEDICAL,16,7.8M,"5,000+",0,Everyone,"March 20, 2018",1.3.0,Low
MEDICAL,4,3.4M,500+,$0.99,Everyone,"May 9, 2017",1.0,Low
FINANCE,805,6.5M,"50,000+",0,Everyone,"July 17, 2018",5.4.5,Low
TOOLS,5,636k,500+,0,Everyone,"March 23, 2018",2.0.180226.1,Low
TOOLS,262,37M,"10,000+",0,Everyone,"September 20, 2016",1.0.0,Low
FAMILY,121,6.3M,"10,000+",0,Everyone,"December 26, 2017",2.0,Low
FAMILY,9,28M,500+,0,Everyone,"September 28, 2016",314007,Low
NEWS_AND_MAGAZINES,29,37M,"5,000+",0,Everyone 10+,"May 23, 2018",2.1.1,Low
FAMILY,111,3.3M,"5,000+",0,Everyone,"March 18, 2016",1.7,Low
TOOLS,15,228k,"5,000+",0,Everyone,"September 10, 2016",1.3,Low
HEALTH_AND_FITNESS,961,1.3M,"100,000+",0,Everyone,"February 27, 2018",1.5,Low
MEDICAL,650,27M,"100,000+",0,Everyone,"July 23, 2018",4.23.0,Low
TOOLS,7,5.2M,500+,0,Everyone,"June 19, 2017",1.0.2,Low
TOOLS,164,144k,"5,000+",$4.99,Everyone,"March 14, 2015",1.3,Low
DATING,2,16M,100+,0,Mature 17+,"July 17, 2018",2.5,Low
FAMILY,54,4.3M,"10,000+",0,Everyone,"April 30, 2018",1.0,Low
LIFESTYLE,6627,18M,"500,000+",0,Everyone,"August 1, 2018",2.5.1,Low
FAMILY,162,9.0M,"10,000+",0,Teen,"October 22, 2017",1.2,Low
SPORTS,3,12M,"1,000+",0,Everyone,"February 23, 2018",5.5.4,Low
TOOLS,688,5.5M,"100,000+",0,Everyone,"September 5, 2017",2.3.5,Low
LIFESTYLE,3031,2.7M,"1,000,000+",0,Everyone,"July 3, 2018",1.5.3,Low
VIDEO_PLAYERS,81,22M,"10,000+",0,Everyone,"July 21, 2016",1.3.21.3,Low
GAME,19291,5.1M,"1,000,000+",0,Everyone,"January 2, 2018",1.24,Low
LIBRARIES_AND_DEMO,1267,55M,"100,000+",0,Everyone,"August 2, 2018",5.1.2,Low
PHOTOGRAPHY,201,2.5M,"10,000+",0,Everyone,"May 2, 2017",2.1,Low
SPORTS,26,15M,"1,000+",0,Everyone,"May 9, 2017",2.1.1,Low
FOOD_AND_DRINK,17,3.1M,"10,000+",0,Everyone,"March 8, 2017",1.6.3,Low
COMMUNICATION,11,5.2M,"1,000+",0,Everyone,"July 26, 2018",2.0.1,Low
PHOTOGRAPHY,582,28M,"100,000+",0,Everyone,"September 11, 2015",1.1.6,Low
LIFESTYLE,88,43M,"10,000+",0,Everyone,"June 30, 2018",1.8.1,Low
FINANCE,314,35M,"10,000+",0,Everyone,"March 14, 2017",6.5.32,Low
FINANCE,36,9.4M,"1,000+",$1.99,Everyone,"November 16, 2015",1.3.3,Low
TOOLS,99,71M,"10,000+",0,Everyone,"July 26, 2018",1.0.9,Low
BOOKS_AND_REFERENCE,82,2.7M,"10,000+",0,Everyone,"March 27, 2018",2.0,Low
MEDICAL,250,23M,"100,000+",0,Everyone,"July 9, 2018",1.2.0,Low
TOOLS,78,3.3M,"10,000+",0,Everyone,"October 11, 2013",1.2.10,Low
PRODUCTIVITY,1,6.6M,100+,0,Everyone,"March 15, 2018",41.9,Low
LIFESTYLE,8,12M,"1,000+",0,Everyone,"November 14, 2016",2.0.18.23,Low
TOOLS,2221,4.9M,"5,000,000+",0,Everyone,"October 3, 2017",1.8.2.7,Low
NEWS_AND_MAGAZINES,81,6.7M,"10,000+",0,Mature 17+,"November 27, 2017",3.4.5,Low
PHOTOGRAPHY,1283,8.2M,"100,000+",0,Everyone,"June 21, 2018",1.2.7,Low
FAMILY,23682,9.8M,"1,000,000+",0,Teen,"June 14, 2018",6.2,Low
FAMILY,3347,15M,"100,000+",0,Everyone,"July 18, 2018",1.1.15.12,Low
COMMUNICATION,5,2.4M,100+,0,Teen,"April 27, 2016",1.4,Low
TOOLS,4,2.0M,"1,000+",0,Everyone,"March 16, 2016",1.0,Low
PHOTOGRAPHY,1,2.5M,10+,$3.49,Everyone,"October 20, 2017",1.0,Low
LIFESTYLE,5,9.5M,100+,0,Everyone,"May 13, 2015",1.0,Low
TOOLS,24151,15M,"10,000,000+",0,Everyone,"August 6, 2018",11.7.0,Low
FAMILY,1172,5.6M,"10,000+",0,Everyone,"October 9, 2017",1.1.2,Low
VIDEO_PLAYERS,381023,53M,"10,000,000+",0,Everyone,"July 26, 2018",2.7.8,Low
FINANCE,135,5.3M,"10,000+",0,Everyone,"June 4, 2018",2.13.0.65,Low
DATING,1146,1.4M,"100,000+",0,Mature 17+,"February 25, 2016",2.2,Low
FAMILY,113183,36M,"5,000,000+",0,Everyone,"December 15, 2017",10.6,Low
AUTO_AND_VEHICLES,250,1.1M,"100,000+",0,Everyone,"April 27, 2018",1.4,Low
BOOKS_AND_REFERENCE,116,48M,"5,000+",$4.60,Everyone,"October 13, 2016",1.4,Low
HEALTH_AND_FITNESS,45,13M,"5,000+",0,Everyone,"September 12, 2016",1.0,Low
BUSINESS,13,21M,"1,000+",0,Teen,"September 20, 2017",1.0.3,Low
GAME,196,35M,"10,000+",0,Everyone,"March 22, 2016",1.0.4,Low
FINANCE,196,27M,"10,000+",0,Everyone,"August 20, 2017",1.8,Low
PERSONALIZATION,84779,8.5M,"5,000,000+",0,Everyone,"June 4, 2018",2.4,Low
FINANCE,30,17M,"1,000+",0,Everyone,"May 27, 2018",1.4.0,Low
PHOTOGRAPHY,52,1.8M,"10,000+",0,Everyone,"August 18, 2016",2.0.160818,Low
BUSINESS,16,5.2M,500+,0,Everyone,"May 4, 2016",1.0.1,Low
MEDICAL,78,72M,"50,000+",0,Everyone,"June 27, 2018",2.2.12,Low
TOOLS,81747,9.1M,"10,000,000+",0,Everyone,"May 26, 2018",3.8.2,Low
FAMILY,4798,30M,"500,000+",0,Teen,"June 13, 2018",1.9,Low
MAPS_AND_NAVIGATION,179,10M,"10,000+",0,Everyone,"March 13, 2018",3.05,Low
TOOLS,20,26M,"5,000+",0,Everyone,"July 25, 2018",6.1.5,Low
FAMILY,4635,3.9M,"1,000,000+",0,Everyone,"January 1, 2018",1.7,Low
GAME,148177,78M,"10,000,000+",0,Everyone,"July 27, 2018",1.7.2,Low
NEWS_AND_MAGAZINES,803,8.0M,"50,000+",0,Everyone 10+,"July 23, 2018",3.7.10.0.44.899,Low
LIFESTYLE,242,36M,"50,000+",0,Everyone,"May 14, 2018",1.2.1,Low
PHOTOGRAPHY,3,8.5M,100+,0,Everyone,"July 17, 2018",1.0.10,Low
HEALTH_AND_FITNESS,293,19M,"50,000+",0,Everyone,"July 20, 2018",2.4.43,Low
VIDEO_PLAYERS,3484,41M,"500,000+",0,Everyone,"December 18, 2017",3.0.1,Low
VIDEO_PLAYERS,167,2.0M,"1,000+",$0.99,Everyone,"June 21, 2018",3.3.2,Low
PERSONALIZATION,6,234k,100+,0,Everyone,"August 10, 2013",1.0,Low
HEALTH_AND_FITNESS,217,9.4M,"50,000+",0,Teen,"August 23, 2017",4.6.2,Low
FINANCE,851,30M,"100,000+",0,Everyone,"June 26, 2018",0.38.1,Low
MAPS_AND_NAVIGATION,8,26M,10+,0,Everyone,"January 17, 2018",1.2.20180117,Low
DATING,13202,6.1M,"1,000,000+",0,Mature 17+,"July 7, 2018",2.4.1,Low
NEWS_AND_MAGAZINES,736,8.5M,"50,000+",0,Teen,"August 3, 2018",7.5.9.1,Low
TRAVEL_AND_LOCAL,39,32M,"1,000+",$2.56,Everyone,"July 20, 2013",1.3.1,Low
TOOLS,16,1.3M,"10,000+",0,Everyone,"November 5, 2016",2.0,Low
DATING,1,9.2M,10+,0,Mature 17+,"July 31, 2018",3.52,Low
COMMUNICATION,42,6.0M,"1,000+",$0.99,Everyone,"January 12, 2017",1.0.5,Low
GAME,440,9.1M,"50,000+",0,Everyone,"November 26, 2012",1.0.6,Low
DATING,69,4.0M,"5,000+",0,Everyone,"July 10, 2017",1.0.2,Low
FINANCE,3856,8.2M,"1,000,000+",0,Everyone,"July 31, 2018",3.2.1,Low
FAMILY,16,17M,"1,000+",0,Everyone,"April 19, 2018",1.6,Low
PRODUCTIVITY,85,6.0M,"5,000+",0,Everyone,"April 21, 2016",1.1.2,Low
PRODUCTIVITY,5,11M,100+,$2.99,Everyone,"September 26, 2016",2,Low
HEALTH_AND_FITNESS,219,1.8M,"50,000+",0,Everyone,"October 30, 2015",1.1.20151030,Low
FAMILY,91,25M,"10,000+",0,Everyone,"April 5, 2018",5.2.002,Low
FAMILY,10449,29M,"1,000,000+",0,Teen,"December 2, 2016",1.7,Low
TOOLS,33,141k,"1,000+",$4.99,Everyone,"August 21, 2015",1.1,Low
FAMILY,34,30M,"1,000+",0,Everyone,"July 5, 2017",1.03,Low
FAMILY,11773,3.3M,"1,000,000+",0,Everyone,"June 13, 2018",18.6.2,Low
NEWS_AND_MAGAZINES,2055,17M,"100,000+",0,Everyone,"July 4, 2018",4.2.7,Low
GAME,3048,24M,"500,000+",0,Teen,"March 6, 2017",1.1,Low
TOOLS,124,1.9M,"100,000+",0,Everyone,"April 22, 2014",9.7.753080,Low
PERSONALIZATION,25,46M,"1,000+",0,Everyone,"March 28, 2017",1.2,Low
COMMUNICATION,33,2.7M,"10,000+",0,Everyone,"September 18, 2017",2.2.6,Low
FAMILY,33944,28M,"1,000,000+",0,Everyone 10+,"March 10, 2016",2.0.0,Low
SOCIAL,6,458k,100+,0,Everyone,"November 26, 2014",1.0,Low
FAMILY,31538,82M,"1,000,000+",0,Everyone 10+,"July 24, 2018",1.2703.273,Low
SPORTS,1845,12M,"100,000+",0,Everyone,"June 7, 2017",1.3.0,Low
GAME,450,97M,"10,000+",0,Everyone,"July 23, 2018",2.0.9,Low
PERSONALIZATION,1042,404k,"100,000+",0,Everyone,"August 5, 2014",3.0.0,Low
NEWS_AND_MAGAZINES,13,4.3M,"1,000+",0,Everyone,"November 1, 2016",1.0.3,Low
WEATHER,115,5.1M,"10,000+",0,Everyone,"February 23, 2017",1.4,Low
TOOLS,44,41M,"10,000+",0,Everyone,"June 20, 2018",3.8,Low
HEALTH_AND_FITNESS,1786,5.9M,"100,000+",0,Everyone,"June 12, 2018",3.5.2,Low
LIFESTYLE,135,6.5M,"10,000+",0,Everyone,"July 11, 2018",1.2.1,Low
TOOLS,876,8.7M,"1,000,000+",0,Everyone,"August 6, 2018",3.2.3,Low
PHOTOGRAPHY,1461,13M,"100,000+",0,Everyone,"August 31, 2017",3.2.6,Low
MEDICAL,66,1.2M,"50,000+",0,Everyone,"October 25, 2016",1.0,Low
FAMILY,11,7.3M,"1,000+",0,Teen,"August 23, 2017",3.4.0,Low
BUSINESS,597,17M,"100,000+",0,Everyone,"July 12, 2018",9.0,Low
MEDICAL,124,43M,"10,000+",0,Everyone,"January 13, 2017",3.0.2,Low
FAMILY,12,11M,"1,000+",0,Everyone,"September 15, 2017",1.5.6,Low
FAMILY,42515,1.6M,"5,000,000+",0,Everyone,"May 23, 2018",1.0.3,Low
MAPS_AND_NAVIGATION,742,15M,"100,000+",0,Everyone,"July 9, 2018",5.7,Low
TOOLS,1,24M,50+,0,Everyone,"March 27, 2018",3.1,Low
PHOTOGRAPHY,30,3.0M,"10,000+",0,Everyone,"April 18, 2018",5.1.2,Low
FAMILY,17,4.6M,"5,000+",0,Everyone,"May 5, 2018",1.0,Low
PARENTING,159,85M,"10,000+",0,Everyone,"July 31, 2018",2.1.23,Low
FINANCE,21,21M,100+,$4.99,Everyone,"October 22, 2017",5.0,Low
COMMUNICATION,7,6.0M,"1,000+",0,Everyone,"April 3, 2018",5.403,Low
HOUSE_AND_HOME,3280,77M,"1,000,000+",0,Everyone,"June 29, 2018",5.0.1,Low
FOOD_AND_DRINK,109784,64M,"10,000,000+",0,Everyone,"August 3, 2018",4.0.30,Low
FAMILY,130,13M,"5,000+",0,Everyone,"December 21, 2017",2.0.0,Low
FAMILY,50,2.8M,"10,000+",0,Everyone,"October 21, 2017",1.2,Low
COMMUNICATION,960,3.8M,"50,000+",0,Everyone,"September 21, 2017",2.1.2,Low
TRAVEL_AND_LOCAL,86,39M,"10,000+",0,Everyone,"May 17, 2018",2.5.186032,Low
TOOLS,784,42M,"50,000+",0,Everyone,"September 29, 2016",1.2.6.94,Low
BOOKS_AND_REFERENCE,156,42M,"500,000+",0,Everyone,"February 15, 2018",3.1.7.9,Low
VIDEO_PLAYERS,171,4.8M,"10,000+",0,Everyone,"August 10, 2017",1.1,Low
FINANCE,9,3.8M,"1,000+",0,Everyone,"January 21, 2018",1.0.0,Low
FAMILY,107441,32M,"1,000,000+",0,Everyone,"July 10, 2018",1.10.5,Low
DATING,2519,5.0M,"100,000+",0,Mature 17+,"July 25, 2018",1.9.7,Low
NEWS_AND_MAGAZINES,160,32M,"50,000+",0,Everyone 10+,"May 24, 2018",1.3.2,Low
HEALTH_AND_FITNESS,2105,8.2M,"100,000+",0,Everyone,"August 21, 2017",2.1.0,Low
LIFESTYLE,3187,11M,"100,000+",0,Everyone,"January 27, 2017",1.0.11,Low
FAMILY,1,2.0M,50+,$1.49,Everyone,"April 9, 2012",1.0,Low
BUSINESS,28,20M,500+,$17.99,Everyone,"October 24, 2017",2.0.5,Low
SHOPPING,9189,98M,"1,000,000+",0,Teen,"August 1, 2018",7.0.14,Low
MEDICAL,45,20M,"5,000+",0,Everyone,"July 16, 2018",1.2.3.2,Low
TOOLS,257,160k,"5,000+",$4.99,Everyone,"March 14, 2015",1.4,Low
VIDEO_PLAYERS,23,4.0M,"5,000+",0,Everyone,"December 16, 2016",1.1,Low
LIFESTYLE,552,22M,"10,000+",0,Everyone,"August 2, 2018",3.0.4,Low
DATING,953,19M,"100,000+",0,Mature 17+,"July 18, 2018",6.3.7,Low
SPORTS,500,39M,"50,000+",0,Everyone,"February 16, 2018",10.012,Low
TOOLS,8,6.7M,"1,000+",0,Everyone,"April 18, 2018",1.1.1,Low
FINANCE,42497,61M,"1,000,000+",0,Teen,"July 2, 2018",10.1.28.560,Low
VIDEO_PLAYERS,439,35M,"50,000+",0,Everyone,"March 4, 2016",0.7.9,Low
NEWS_AND_MAGAZINES,33,33M,"1,000+",0,Everyone,"June 6, 2018",1.4.0,Low
LIFESTYLE,43,30M,"10,000+",0,Everyone,"July 11, 2018",2.0.0,Low
NEWS_AND_MAGAZINES,183,7.1M,"10,000+",0,Everyone,"July 4, 2018",2.2.9,Low
NEWS_AND_MAGAZINES,367,6.1M,"50,000+",0,Everyone,"March 2, 2018",1.7,Low
HEALTH_AND_FITNESS,141,22M,"10,000+",0,Everyone,"July 30, 2018",3.2.9,Low
FAMILY,1616,3.0M,"500,000+",0,Everyone,"January 8, 2017",7.0,Low
PRODUCTIVITY,5,7.0M,100+,$4.99,Everyone,"February 11, 2014",1.3,Low
TOOLS,2,2.7M,100+,0,Everyone,"October 10, 2017",1.0.1,Low
COMICS,93965,15M,"5,000,000+",0,Teen,"July 3, 2018",6.3.0,Low
FAMILY,53,82M,"10,000+",0,Everyone,"March 17, 2018",1.0.1,Low
PHOTOGRAPHY,118,26M,"50,000+",0,Everyone,"July 24, 2018",1.3.5,Low
TOOLS,999,91k,"100,000+",0,Everyone,"December 17, 2013",3.2,Low
BOOKS_AND_REFERENCE,5,8.2M,"1,000+",0,Everyone,"October 21, 2017",1.5,Low
MAPS_AND_NAVIGATION,555,31M,"50,000+",0,Everyone,"December 20, 2017",2.1.2,Low
NEWS_AND_MAGAZINES,254,38M,"10,000+",0,Everyone 10+,"June 20, 2018",5.9.5,Low
BUSINESS,358,2.0M,"50,000+",0,Everyone,"September 18, 2017",1.4.1,Low
TOOLS,130,143k,"5,000+",$4.99,Everyone,"March 14, 2015",1.1,Low
FAMILY,16,33M,500+,0,Everyone,"July 6, 2017",1.2,Low
FINANCE,19,2.2M,"5,000+",0,Everyone,"June 26, 2017",1.6,Low
TRAVEL_AND_LOCAL,852,37M,"100,000+",0,Everyone,"July 31, 2018",2.2.1,Low
LIFESTYLE,543,94M,"50,000+",0,Everyone,"July 2, 2018",1.4.1.0629,Low
LIFESTYLE,4260,6.3M,"5,000,000+",0,Everyone,"August 8, 2017",6.1,Low
FAMILY,1218,1.0M,"100,000+",0,Everyone,"August 24, 2012",1.0,Low
AUTO_AND_VEHICLES,14,4.6M,"1,000+",0,Everyone,"February 9, 2018",16.00,Low
BUSINESS,41,20M,"10,000+",0,Everyone,"December 20, 2017",1.1,Low
NEWS_AND_MAGAZINES,202,38M,"10,000+",0,Everyone 10+,"June 20, 2018",5.9.5,Low
NEWS_AND_MAGAZINES,23,33M,"1,000+",0,Everyone,"June 6, 2018",1.4.0,Low
BUSINESS,104,5.3M,"10,000+",0,Everyone,"May 14, 2015",2.0,Low
FINANCE,72,2.4M,"10,000+",0,Everyone,"February 13, 2018",2.0.9,Low
FAMILY,2,22M,50+,$2.99,Everyone,"March 20, 2017",1.1,Low
HEALTH_AND_FITNESS,4,28M,"1,000+",0,Everyone,"February 1, 2018",1.1.3,Low
FAMILY,2802,15M,"100,000+",0,Teen,"July 11, 2018",5.0,Low
COMICS,115,9.1M,"10,000+",0,Mature 17+,"July 13, 2018",5.0.12,Low
SOCIAL,16,2.6M,"1,000+",0,Everyone,"June 30, 2016",1.0,Low
TOOLS,138,141k,"5,000+",$4.99,Everyone,"March 5, 2015",1.6,Low
MAPS_AND_NAVIGATION,1147,19M,"100,000+",0,Everyone,"May 28, 2018",1.0.3.8,Low
FAMILY,76,14M,"5,000+",0,Everyone,"February 13, 2014",2.2.1,Low
TOOLS,39,8.9M,"1,000+",0,Everyone,"December 7, 2017",1.1.4,Low
LIFESTYLE,4082,318k,"500,000+",0,Everyone,"October 16, 2014",1.0,Low
PHOTOGRAPHY,1307,6.6M,"500,000+",0,Everyone,"February 24, 2017",1.8,Low
FAMILY,10,5.2M,"1,000+",0,Everyone,"February 8, 2017",1.0.0,Low
FAMILY,2,33M,100+,0,Everyone,"July 18, 2018",1.0,Low
BUSINESS,9,3.4M,"1,000+",0,Everyone,"June 9, 2017",1.1.12,Low
VIDEO_PLAYERS,197,9.8M,"10,000+",0,Everyone,"February 5, 2017",1.0,Low
FAMILY,304,4.7M,"10,000+",0,Teen,"February 14, 2018",1.0.2,Low
FAMILY,17,246k,"1,000+",0,Everyone,"November 21, 2014",1.0,Low
AUTO_AND_VEHICLES,83,4.8M,"5,000+",0,Everyone,"July 29, 2018",1.0.12,Low
HEALTH_AND_FITNESS,114,1.6M,"10,000+",0,Everyone,"June 20, 2018",20180620,Low
COMMUNICATION,223,1.0M,"5,000+",$1.49,Everyone,"July 26, 2014",1.3,Low
TOOLS,3988,11M,"1,000,000+",0,Everyone,"December 22, 2015",1.0.5,Low
FAMILY,12,13M,"1,000+",0,Everyone,"February 3, 2018",1.3.4,Low
FAMILY,407,306k,"50,000+",0,Mature 17+,"April 11, 2017",1.0,Low
MEDICAL,19,2.2M,"5,000+",0,Everyone,"May 12, 2018",1.4.15,Low
GAME,4416,59M,"500,000+",0,Teen,"January 18, 2017",2.1.7,Low
FAMILY,246,35M,"50,000+",0,Teen,"September 23, 2016",1.0,Low
SOCIAL,20675,96M,"1,000,000+",0,Teen,"August 2, 2018",4.4.0,Low
GAME,1976,21M,"100,000+",0,Teen,"March 3, 2018",1.6,Low
DATING,1093,5.8M,"100,000+",0,Mature 17+,"January 28, 2017",1.6.6,Low
GAME,2071,36M,"100,000+",0,Everyone,"June 29, 2018",1.0.3,Low
LIFESTYLE,41,2.9M,"1,000+",$379.99,Everyone,"July 1, 2018",1.0,Low
SPORTS,1520,6.3M,"50,000+",0,Everyone,"April 17, 2018",3.7,Low
LIFESTYLE,81,7.7M,"10,000+",0,Everyone,"March 6, 2018",2.0.0.18.03.01,Low
FAMILY,2714,52M,"500,000+",0,Mature 17+,"November 19, 2017",1.1.8,Low
NEWS_AND_MAGAZINES,41490,25M,"5,000,000+",0,Teen,"July 24, 2018",4.6.0,Low
FAMILY,740,20M,"100,000+",0,Teen,"May 24, 2018",3.3.1.41,Low
GAME,1015,643k,"100,000+",0,Everyone,"November 11, 2015",1.3,Low
GAME,14823,40M,"1,000,000+",0,Teen,"February 15, 2017",4.0,Low
PRODUCTIVITY,12,2.2M,"1,000+",0,Everyone,"March 26, 2015",1.0.0.0,Low
PHOTOGRAPHY,20,4.3M,"1,000+",$2.99,Everyone,"June 18, 2018",1.4.7,Low
FAMILY,7,2.1M,100+,$3.99,Everyone,"March 23, 2017",1.0,Low
VIDEO_PLAYERS,78,322k,"10,000+",0,Everyone,"September 19, 2013",1.3,Low
NEWS_AND_MAGAZINES,124,12M,"10,000+",0,Everyone,"June 29, 2018",4.9.0,Low
TOOLS,53,3.4M,"1,000+",$1.49,Everyone,"May 19, 2018",1.91,Low
FAMILY,4,8.0M,"1,000+",0,Everyone,"June 8, 2017",1,Low
BOOKS_AND_REFERENCE,2539,8.6M,"500,000+",0,Everyone,"July 26, 2018",1.1.6,Low
HEALTH_AND_FITNESS,32,9.6M,"1,000+",0,Everyone,"May 22, 2018",5.9,Low
PRODUCTIVITY,617,46M,"100,000+",0,Everyone,"April 17, 2018",1.5.3,Low
FINANCE,204,29M,"10,000+",0,Everyone,"May 9, 2018",18.1.79,Low
TRAVEL_AND_LOCAL,69,31M,"10,000+",0,Everyone,"June 11, 2018",3.4.1,Low
BOOKS_AND_REFERENCE,15,12M,"1,000+",0,Everyone,"November 17, 2017",1.2,Low
SOCIAL,3640,9.1M,"500,000+",0,Mature 17+,"June 13, 2016",3.1.9,Low
TOOLS,163997,16M,"10,000,000+",0,Everyone,"August 5, 2018",5.36,Low
VIDEO_PLAYERS,32,33M,"5,000+",0,Everyone,"July 9, 2018",3.1.0,Low
NEWS_AND_MAGAZINES,636,1.4M,"100,000+",0,Everyone,"June 8, 2018",1.12.2,Low
FAMILY,2580,53M,"100,000+",0,Everyone,"July 6, 2018",10,Low
COMMUNICATION,10,3.8M,100+,$1.49,Everyone,"May 12, 2018",2.1.4,Low
FAMILY,606,42M,"50,000+",0,Everyone 10+,"August 16, 2016",1.2,Low
GAME,33,3.1M,"1,000+",0,Everyone,"December 25, 2017",1.10,Low
MEDICAL,1838,21M,"100,000+",0,Everyone,"July 2, 2018",2.11.0,Low
TOOLS,427,9.5M,"100,000+",0,Everyone,"May 4, 2018",1.7.6,Low
MEDICAL,315,22M,"100,000+",0,Everyone,"October 10, 2017",1.0.02,Low
DATING,31320,53M,"5,000,000+",0,Mature 17+,"July 30, 2018",6.6.5,Low
MEDICAL,51,2.4M,"1,000+",$29.99,Everyone,"October 22, 2014",2.0.2,Low
TOOLS,67,65M,"10,000+",0,Everyone,"June 2, 2017",1.0.8,Low
LIFESTYLE,377,6.1M,"100,000+",0,Everyone,"March 21, 2017",1.1.4,Low
BUSINESS,322,1.5M,"50,000+",0,Everyone,"March 28, 2017",2.13,Low
COMMUNICATION,497,36M,"100,000+",0,Everyone,"July 17, 2018",8.6.2,Low
MEDICAL,30,887k,500+,0,Everyone,"May 27, 2016",1.1,Low
FAMILY,31596,31M,"5,000,000+",0,Teen,"December 23, 2016",1.5,Low
TOOLS,27,5.0M,"5,000+",0,Everyone,"May 31, 2018",10.1.0,Low
SHOPPING,4,1.2M,"1,000+",0,Everyone,"July 1, 2018",10.0,Low
HEALTH_AND_FITNESS,44,49M,"1,000+",0,Everyone,"August 1, 2018",1.0.1,Low
FAMILY,20843,14M,"1,000,000+",0,Teen,"August 2, 2018",3.3.85.2,Low
MEDICAL,35,24M,"1,000+",$15.46,Everyone,"May 27, 2015",2.0.3,Low
HEALTH_AND_FITNESS,3,9.4M,100+,0,Everyone 10+,"June 28, 2018",7.4.8,Low
FAMILY,79,33M,"5,000+",0,Everyone,"May 27, 2015",1.03,Low
TOOLS,35,916k,"1,000+",0,Everyone,"October 23, 2017",0.2,Low
FINANCE,139,3.3M,"10,000+",0,Everyone,"June 19, 2017",3.0.5,Low
HEALTH_AND_FITNESS,224,371k,"10,000+",0,Everyone,"July 9, 2014",1.2.6,Low
FAMILY,9126,5.8M,"1,000,000+",0,Everyone,"June 8, 2016",1.0.9,Low
BOOKS_AND_REFERENCE,50,4.9M,"1,000+",$1.99,Everyone,"February 22, 2017",2.0,Low
TOOLS,30,22M,"5,000+",0,Everyone,"June 7, 2017",1.2.2,Low
MEDICAL,1,29M,50+,0,Everyone,"June 27, 2017",7.9.0.5192,Low
TOOLS,13,3.0M,"1,000+",0,Everyone,"July 18, 2017",1.01,Low
AUTO_AND_VEHICLES,46,6.6M,"1,000+",0,Everyone,"June 26, 2018",3.4,Low
FAMILY,4114,14M,"100,000+",0,Everyone,"July 10, 2018",3.29,Low
BUSINESS,87,26M,"5,000+",0,Everyone,"April 26, 2018",1.6.0.0,Low
TOOLS,472,2.0M,"100,000+",0,Everyone,"October 17, 2017",1.3,Low
PHOTOGRAPHY,13,7.9M,"1,000+",0,Everyone,"January 29, 2018",1.2.0.9,Low
TOOLS,43,2.3M,"5,000+",0,Everyone,"October 10, 2017",3.1.8,Low
FAMILY,1242,14M,"50,000+",0,Everyone,"April 24, 2018",1.7.0,Low
HEALTH_AND_FITNESS,10,3.3M,"1,000+",0,Everyone,"April 5, 2018",1.8,Low
PRODUCTIVITY,63,1.8M,"5,000+",0,Everyone,"September 27, 2016",2.0.1027,Low
FAMILY,33178,3.1M,"1,000,000+",0,Everyone,"February 2, 2015",1.0.5,Low
PERSONALIZATION,8,5.3M,100+,0,Everyone,"June 5, 2015",1.1,Low
MAPS_AND_NAVIGATION,168,53M,"10,000+",0,Everyone,"May 1, 2018",3.19.34,Low
GAME,23,37M,"1,000+",$0.99,Everyone,"December 27, 2017",2.2.1,Low
SPORTS,4057,26M,"500,000+",0,Everyone,"May 10, 2018",3.2.12,Low
SPORTS,17,14M,"1,000+",0,Everyone,"December 21, 2017",1.0.0,Low
GAME,1995,43M,"100,000+",0,Everyone,"June 28, 2016",1.2.2,Low
DATING,13890,20M,"500,000+",0,Mature 17+,"June 19, 2018",4.9.2,Low
PHOTOGRAPHY,3032,2.8M,"500,000+",0,Everyone,"December 8, 2017",1.3,Low
PRODUCTIVITY,16,293k,100+,$6.49,Everyone,"May 3, 2014",1.0,Low
VIDEO_PLAYERS,30,15M,"5,000+",0,Everyone,"July 25, 2018",3.1.0.1.4,Low
DATING,1,5.5M,500+,0,Mature 17+,"July 19, 2018",1.0,Low
FAMILY,14,11M,"1,000+",0,Everyone,"January 19, 2015",1.2,Low
FINANCE,2,7.2M,"1,000+",0,Everyone,"July 25, 2017",1.0.1,Low
